# Keybindings database — single source of truth for the searchable shortcut menu
# Format: layer	key	description	tags
# Lines starting with # are section comments (no tabs)
wezterm	Ctrl+Shift+T	Open a new WSL tab	tab new open wsl terminal
wezterm	Ctrl+Shift+P	Open a new PowerShell tab	tab new open powershell terminal
wezterm	Ctrl+1	Switch to tab 1	tab switch goto 1
wezterm	Ctrl+2	Switch to tab 2	tab switch goto 2
wezterm	Ctrl+3	Switch to tab 3	tab switch goto 3
wezterm	Ctrl+4	Switch to tab 4	tab switch goto 4
wezterm	Ctrl+5	Switch to tab 5	tab switch goto 5
wezterm	Ctrl+6	Switch to tab 6	tab switch goto 6
wezterm	Ctrl+7	Switch to tab 7	tab switch goto 7
wezterm	Ctrl+Tab	Switch to the next tab	tab next switch cycle forward
wezterm	Ctrl+Shift+Tab	Switch to the previous tab	tab previous switch cycle back
wezterm	Ctrl+C	Copy selection or send SIGINT if nothing selected	copy yank clipboard sigint interrupt
wezterm	Ctrl+V	Paste from clipboard	paste insert clipboard
wezterm	Ctrl+Shift+C	Force copy selection to clipboard	copy force yank clipboard selection
wezterm	Ctrl+Shift+V	Force paste from clipboard	paste force insert clipboard
wezterm	Ctrl+Shift+D	Split pane with a vertical divider (new pane on right)	split pane right vertical divide open
wezterm	Ctrl+Shift+E	Split pane with a horizontal divider (new pane below)	split pane down horizontal divide open
wezterm	Ctrl+Shift+W	Close the current pane	close pane quit exit
wezterm	Ctrl+Shift+H	Move focus to the left pane	focus pane left navigate move
wezterm	Ctrl+Shift+J	Move focus to the pane below	focus pane down navigate move
wezterm	Ctrl+Shift+K	Move focus to the pane above	focus pane up navigate move
wezterm	Ctrl+Shift+L	Move focus to the right pane	focus pane right navigate move
wezterm	Ctrl+Shift+Y	Open Yazi file manager in a new tab at current directory	yazi file manager open tab browse
wezterm	Ctrl+Shift+/	Open keybindings reference menu	help reference keybindings shortcuts menu
nvim	;	Enter command mode (replaces : without needing Shift)	command mode execute colon swiss qwertz
nvim	Space /	Search inside the current buffer	search find buffer local pattern text
nvim	Ctrl+H	Move focus to the left split	split focus left navigate window pane
